id,order_time,total_amount,cashier
175,2025-05-21 17:51:25,15.57,5
176,2025-05-21 10:29:58,4.99,2
177,2025-05-21 21:34:01,26.15,3
178,2025-05-21 16:42:01,25.35,2
179,2025-05-21 16:08:55,19.76,3
180,2025-05-21 11:16:24,24.95,3
181,2025-05-21 11:20:21,4.89,3
182,2025-05-21 12:53:26,14.77,3
183,2025-05-21 19:30:01,48.90,5
184,2025-05-21 15:22:14,29.94,5
185,2025-05-21 08:41:02,50.50,2
186,2025-05-21 20:12:53,45.11,2
187,2025-05-21 16:15:08,52.10,3
188,2025-05-21 17:36:13,10.18,3
189,2025-05-21 17:49:23,35.13,2
190,2025-05-22 06:19:36,30.94,5
191,2025-05-22 19:24:25,60.68,5
192,2025-05-22 11:37:44,49.30,5
193,2025-05-22 12:44:49,39.42,3
194,2025-05-22 19:38:51,4.99,2
195,2025-05-22 18:36:50,66.67,2
196,2025-05-22 13:27:42,25.35,3
197,2025-05-22 08:41:21,16.47,2
198,2025-05-22 19:52:31,9.98,2
199,2025-05-22 13:23:40,25.45,3
200,2025-05-22 17:27:11,55.29,5
201,2025-05-22 15:41:17,56.69,5
202,2025-05-22 18:34:49,30.84,3
203,2025-05-22 14:52:46,54.59,5
204,2025-05-22 12:54:15,30.34,2
205,2025-05-22 12:28:15,44.61,3
206,2025-05-22 15:42:24,19.96,3
207,2025-05-22 06:54:20,14.97,2
208,2025-05-22 14:22:51,9.98,3
209,2025-05-22 13:56:38,4.99,5
210,2025-05-22 19:35:00,30.54,5
211,2025-05-22 20:05:15,36.33,5
212,2025-05-22 13:35:48,36.33,2
213,2025-05-22 17:41:45,40.82,3
214,2025-05-22 14:01:05,19.96,3
215,2025-05-22 11:44:15,40.02,3
216,2025-05-22 17:23:30,10.38,5
217,2025-05-22 15:27:47,36.23,5
218,2025-05-22 12:44:29,44.31,3
219,2025-05-22 12:14:07,4.99,5
220,2025-05-22 11:07:47,4.99,5
221,2025-05-22 20:44:11,24.45,2
222,2025-05-22 11:30:17,26.15,5
223,2025-05-22 16:48:33,40.82,5
224,2025-05-22 12:06:53,24.85,2
225,2025-05-22 12:23:11,55.69,3
226,2025-05-22 04:34:08,5.09,3
227,2025-05-22 07:03:35,49.50,3
228,2025-05-22 17:08:40,5.29,3
229,2025-05-22 09:00:36,14.67,3
230,2025-05-22 14:28:21,24.75,2
231,2025-05-22 21:16:55,48.60,3
232,2025-05-22 09:04:25,30.24,3
233,2025-05-22 08:40:43,45.91,2
234,2025-05-22 10:51:36,20.46,3
235,2025-05-22 09:15:07,30.24,5
236,2025-05-22 18:38:38,25.25,5
237,2025-05-22 11:33:24,51.10,3
238,2025-05-22 19:19:55,50.40,5
239,2025-05-22 21:19:36,61.68,5
240,2025-05-22 08:47:06,40.92,2
241,2025-05-22 16:16:42,62.58,2
242,2025-05-22 10:11:35,24.35,2
243,2025-05-22 10:26:28,14.37,5
244,2025-05-22 16:18:02,19.16,2
245,2025-05-22 12:18:44,25.25,3
246,2025-05-22 08:14:59,40.52,3
247,2025-05-22 18:40:37,42.62,5
248,2025-05-22 18:12:27,15.87,2
249,2025-05-22 15:41:09,60.58,3
250,2025-05-22 18:04:03,5.29,2
251,2025-05-22 18:38:47,25.15,5
252,2025-05-22 19:28:07,15.57,3
253,2025-05-22 17:44:25,55.29,3
254,2025-05-22 14:31:28,30.24,2
255,2025-05-22 16:56:27,35.23,5
256,2025-05-22 12:16:01,4.99,2
257,2025-05-22 11:43:53,30.94,5
258,2025-05-22 16:01:48,16.07,5
259,2025-05-22 18:36:02,45.61,2
260,2025-05-22 14:41:28,55.49,3
261,2025-05-22 11:37:27,29.64,5
262,2025-05-22 18:05:30,59.98,3
263,2025-05-22 13:20:42,63.38,2
264,2025-05-22 19:21:26,49.10,5
265,2025-05-22 14:42:25,40.82,5
266,2025-05-22 06:05:20,29.64,3
267,2025-05-22 12:49:25,39.12,5
268,2025-05-22 18:00:42,34.63,5
269,2025-05-22 14:03:12,39.62,5
270,2025-05-22 13:48:31,19.76,5
271,2025-05-22 13:03:13,19.96,3
272,2025-05-22 15:59:18,35.53,3
273,2025-05-22 19:31:07,10.58,2
274,2025-05-22 21:38:51,40.22,2
275,2025-05-22 17:19:35,15.57,2
276,2025-05-22 15:05:14,19.96,2
277,2025-05-22 14:07:41,19.96,2
278,2025-05-22 14:45:18,14.67,5
279,2025-05-22 17:26:53,49.60,3
280,2025-05-22 21:15:29,45.51,5
281,2025-05-22 10:12:58,35.43,5
282,2025-05-22 14:56:08,41.72,2
283,2025-05-22 12:50:54,16.47,3
284,2025-05-22 13:50:32,41.82,3
285,2025-05-22 18:18:46,41.02,3
286,2025-05-22 19:37:42,5.29,3
287,2025-05-22 19:28:34,34.53,3
288,2025-05-22 13:35:48,15.17,5
289,2025-05-22 13:59:20,10.98,2
290,2025-05-22 21:15:36,41.72,3
291,2025-05-22 12:49:26,41.52,2
292,2025-05-22 12:30:45,20.86,3
293,2025-05-22 13:42:50,19.96,5
294,2025-05-22 21:31:02,32.04,2
295,2025-05-22 14:37:21,45.61,2
296,2025-05-22 19:28:06,47.51,5
297,2025-05-22 19:00:46,9.88,2
298,2025-05-22 13:41:09,25.45,2
299,2025-05-22 14:16:21,19.56,5
300,2025-05-22 17:41:05,36.43,3
301,2025-05-22 19:54:34,9.58,3
302,2025-05-22 20:40:45,14.97,3
303,2025-05-22 19:02:39,19.86,2
304,2025-05-22 12:43:58,53.40,3
305,2025-05-22 23:47:05,50.10,3
306,2025-05-22 21:48:40,4.89,5
307,2025-05-22 19:28:10,45.11,5
308,2025-05-22 12:01:02,14.97,3
309,2025-05-22 18:18:22,50.50,3
310,2025-05-22 13:15:33,58.09,3
311,2025-05-22 15:50:11,4.89,2
312,2025-05-22 10:39:55,61.68,3
313,2025-05-22 16:15:31,29.94,5
314,2025-05-22 10:29:40,41.12,3
315,2025-05-22 14:42:00,21.46,3
316,2025-05-22 19:43:34,36.03,2
317,2025-05-22 08:22:37,56.99,3
318,2025-05-22 16:27:44,24.95,3
319,2025-05-22 14:19:12,40.22,3
320,2025-05-22 19:06:15,51.50,3
321,2025-05-22 15:36:18,35.03,5
322,2025-05-22 12:53:42,30.54,3
323,2025-05-22 12:36:55,36.93,5
324,2025-05-22 18:03:58,56.09,5
325,2025-05-22 17:53:57,60.88,3
326,2025-05-22 18:14:38,10.28,3
327,2025-05-22 11:12:39,50.60,3
328,2025-05-22 17:46:49,36.73,5
329,2025-05-22 17:08:40,10.98,2
330,2025-05-22 19:41:02,50.70,3
331,2025-05-22 18:02:37,19.86,3
332,2025-05-22 17:05:58,55.89,3
333,2025-05-22 12:26:11,52.40,2
334,2025-05-22 10:34:56,55.99,3
335,2025-05-22 15:58:17,24.75,2
336,2025-05-22 12:52:30,39.92,3
337,2025-05-22 18:21:51,24.65,2
338,2025-05-22 14:04:09,5.29,2
339,2025-05-22 19:46:43,30.94,3
340,2025-05-22 21:51:35,4.99,3
341,2025-05-22 09:25:00,48.60,3
342,2025-05-22 15:29:23,19.76,5
343,2025-05-22 18:16:37,14.67,3
344,2025-05-23 16:35:20,57.19,5
345,2025-05-23 11:04:40,34.43,3
346,2025-05-23 19:19:41,35.93,3
347,2025-05-23 09:02:02,9.78,3
348,2025-05-23 22:07:06,20.56,2
349,2025-05-23 19:08:24,9.78,3
350,2025-05-23 13:47:44,29.34,5
351,2025-05-23 13:47:46,20.56,2
352,2025-05-23 19:41:06,4.99,3
353,2025-05-23 16:17:02,50.70,5
354,2025-05-23 13:28:28,51.20,2
355,2025-05-23 19:06:43,41.12,3
356,2025-05-23 15:41:22,26.25,2
357,2025-05-23 13:12:07,39.22,3
358,2025-05-23 09:13:41,14.67,5
359,2025-05-23 16:01:03,56.69,3
360,2025-05-23 12:08:50,34.73,5
361,2025-05-23 11:53:48,40.82,5
362,2025-05-23 11:13:52,30.74,2
363,2025-05-23 12:09:50,20.66,5
364,2025-05-23 00:54:09,35.43,2
365,2025-05-23 15:51:11,10.48,2
366,2025-05-23 17:01:08,46.41,2
367,2025-05-23 13:50:15,30.34,5
368,2025-05-23 12:11:16,54.59,2
369,2025-05-23 09:26:33,58.98,2
370,2025-05-23 18:30:28,9.98,3
371,2025-05-23 14:06:28,35.73,5
372,2025-05-23 11:39:02,10.38,5
373,2025-05-23 18:55:42,50.20,5
374,2025-05-23 12:41:01,73.26,2
375,2025-05-23 23:54:25,5.29,3
376,2025-05-23 17:31:45,25.85,3
377,2025-05-23 08:05:20,24.65,5
378,2025-05-23 10:08:17,46.01,5
379,2025-05-23 16:35:45,54.99,3
380,2025-05-23 13:38:33,9.98,3
381,2025-05-23 14:38:27,10.58,2
382,2025-05-23 18:07:54,46.61,5
383,2025-05-23 16:49:35,10.58,5
384,2025-05-23 19:27:28,50.20,2
385,2025-05-23 13:52:29,29.64,3
386,2025-05-23 13:06:20,20.66,3
387,2025-05-23 12:16:23,36.03,2
388,2025-05-23 17:30:04,40.72,2
389,2025-05-23 18:05:27,24.75,2
390,2025-05-23 17:23:51,39.82,2
391,2025-05-23 15:37:35,29.44,5
392,2025-05-23 12:07:26,10.58,3
393,2025-05-23 19:48:27,14.97,5
394,2025-05-23 07:18:38,42.12,3
395,2025-05-23 13:36:32,61.58,2
396,2025-05-23 10:30:14,40.72,2
397,2025-05-23 13:35:23,52.20,2
398,2025-05-23 18:36:14,19.76,3
399,2025-05-23 19:49:52,14.97,5
400,2025-05-23 16:41:35,61.48,2
401,2025-05-23 16:42:53,10.38,5
402,2025-05-23 12:11:17,29.64,5
403,2025-05-23 18:58:21,50.80,3
404,2025-05-23 01:55:09,56.69,5
405,2025-05-23 17:04:09,15.27,5
406,2025-05-23 16:01:05,21.16,5
407,2025-05-23 15:24:26,19.56,3
408,2025-05-23 13:23:19,19.96,5
409,2025-05-23 12:36:38,14.67,2
410,2025-05-23 19:09:10,44.61,5
411,2025-05-23 07:05:17,45.81,3
412,2025-05-23 17:31:38,39.32,3
413,2025-05-23 13:13:48,34.53,5
414,2025-05-23 09:27:07,58.98,3
415,2025-05-23 17:37:31,15.57,5
416,2025-05-23 17:02:14,9.78,3
417,2025-05-23 21:03:00,19.26,2
418,2025-05-23 12:13:49,19.96,2
419,2025-05-23 18:18:20,29.54,2
420,2025-05-23 02:47:27,66.37,2
421,2025-05-23 10:34:45,29.74,2
422,2025-05-23 14:53:42,29.54,3
423,2025-05-23 08:55:47,29.44,2
424,2025-05-23 13:29:58,35.43,2
425,2025-05-23 19:36:27,51.30,5
426,2025-05-23 13:40:26,34.83,3
427,2025-05-23 09:01:20,5.29,2
428,2025-05-23 18:39:29,55.79,5
429,2025-05-23 19:05:27,19.96,2
430,2025-05-23 12:37:25,21.56,5
431,2025-05-23 09:55:19,39.82,5
432,2025-05-23 13:21:49,40.12,2
433,2025-05-23 09:40:07,34.93,5
434,2025-05-23 14:57:49,4.99,3
435,2025-05-23 13:52:41,44.01,2
436,2025-05-23 12:09:16,50.50,2
437,2025-05-23 10:09:48,30.84,5
438,2025-05-23 09:49:40,24.85,3
439,2025-05-23 14:36:48,20.86,5
440,2025-05-23 14:59:56,9.98,5
441,2025-05-23 16:39:20,19.96,5
442,2025-05-23 12:28:04,41.12,3
443,2025-05-23 13:19:50,5.29,3
444,2025-05-23 16:22:32,19.66,2
445,2025-05-23 12:28:02,39.52,2
446,2025-05-23 13:18:04,55.99,5
447,2025-05-23 19:54:05,25.15,5
448,2025-05-23 16:24:29,29.84,5
449,2025-05-23 15:50:47,24.85,2
450,2025-05-23 14:51:36,30.04,5
451,2025-05-23 11:38:30,50.00,5
452,2025-05-23 10:03:28,10.58,2
453,2025-05-23 18:53:21,24.75,5
454,2025-05-23 09:41:11,27.05,2
455,2025-05-23 12:28:28,40.52,5
456,2025-05-23 15:10:23,40.72,3
457,2025-05-23 19:24:26,24.65,3
458,2025-05-23 17:03:50,50.30,5
459,2025-05-23 16:04:21,51.80,2
460,2025-05-23 15:24:18,19.96,3
461,2025-05-23 17:42:58,19.96,5
462,2025-05-23 19:21:05,29.94,5
463,2025-05-23 17:58:22,10.78,3
464,2025-05-23 21:44:42,26.45,3
465,2025-05-23 10:45:05,10.38,3
466,2025-05-23 15:41:50,40.42,3
467,2025-05-23 18:42:44,35.23,5
468,2025-05-23 23:58:33,20.16,2
469,2025-05-23 16:27:32,41.32,3
470,2025-05-23 05:19:11,19.36,2
471,2025-05-23 13:49:31,20.76,2
472,2025-05-23 11:08:09,14.67,2
473,2025-05-23 12:50:06,50.50,5
474,2025-05-23 18:53:47,4.89,5
475,2025-05-23 06:21:56,31.54,5
476,2025-05-23 10:24:09,20.56,2
477,2025-05-23 11:44:49,31.24,5
478,2025-05-23 18:10:46,20.46,3
479,2025-05-23 07:23:43,40.72,5
480,2025-05-23 12:28:39,36.53,3
481,2025-05-23 18:50:28,40.32,2
482,2025-05-23 15:19:51,40.32,3
483,2025-05-23 19:12:23,46.31,5
484,2025-05-23 20:28:29,60.08,3
485,2025-05-23 18:32:33,15.27,3
486,2025-05-23 21:52:12,30.24,5
487,2025-05-23 10:16:03,26.45,5
488,2025-05-23 14:23:35,14.87,2
489,2025-05-23 17:33:54,20.36,2
490,2025-05-23 12:48:10,34.93,3
491,2025-05-23 14:32:09,10.58,3
492,2025-05-23 09:58:14,50.80,3
493,2025-05-23 19:59:01,29.74,3
494,2025-05-23 07:32:23,14.67,2
495,2025-05-23 13:05:23,19.76,2
496,2025-05-23 06:59:06,30.74,5
497,2025-05-23 16:50:09,25.55,2
498,2025-05-23 06:58:53,65.37,3
499,2025-05-23 17:08:48,4.99,5
500,2025-05-23 14:39:00,9.98,2
501,2025-05-23 05:13:53,40.22,2
502,2025-05-23 15:46:38,41.02,5
503,2025-05-23 13:49:18,45.11,2
504,2025-05-23 12:03:15,14.67,3
505,2025-05-23 16:39:29,20.46,2
506,2025-05-23 09:57:31,50.30,5
507,2025-05-23 15:40:32,37.13,5
508,2025-05-23 12:09:18,34.93,3
509,2025-05-23 00:22:15,46.71,5
510,2025-05-23 13:42:42,15.27,2
511,2025-05-23 15:23:04,20.16,5
512,2025-05-23 15:50:32,26.25,5
513,2025-05-23 05:55:30,9.88,2
514,2025-05-23 16:23:16,31.14,5
515,2025-05-23 04:50:04,39.52,3
516,2025-05-23 12:42:40,44.61,2
517,2025-05-23 18:47:48,10.98,3
518,2025-05-23 10:22:34,55.89,3
519,2025-05-23 18:11:53,45.61,5
520,2025-05-23 14:44:30,52.30,5
521,2025-05-23 11:08:04,30.54,5
522,2025-05-23 18:29:02,56.69,3
523,2025-05-23 11:50:12,20.96,2
524,2025-05-24 18:30:16,35.23,2
525,2025-05-24 18:12:18,4.99,3
526,2025-05-24 19:03:55,30.24,5
527,2025-05-24 12:07:51,14.37,3
528,2025-05-24 13:25:47,5.19,3
529,2025-05-24 19:24:21,30.94,2
530,2025-05-24 14:31:23,45.71,5
531,2025-05-24 12:05:46,66.27,3
532,2025-05-24 09:38:52,40.72,2
533,2025-05-24 15:20:06,14.67,2
534,2025-05-24 12:18:19,9.58,3
535,2025-05-24 16:27:10,14.77,5
536,2025-05-24 13:28:02,31.54,5
537,2025-05-24 19:22:39,54.79,3
538,2025-05-24 12:50:03,25.85,2
539,2025-05-24 17:25:23,29.34,5
540,2025-05-24 18:43:10,10.58,2
541,2025-05-24 10:38:43,5.19,3
542,2025-05-24 06:04:15,50.90,5
543,2025-05-24 13:24:36,4.99,2
544,2025-05-24 16:43:28,5.29,3
545,2025-05-24 13:48:04,15.67,5
546,2025-05-24 10:23:25,36.63,3
547,2025-05-24 16:15:07,29.44,2
548,2025-05-24 17:31:33,9.78,3
549,2025-05-24 19:07:16,31.84,3
550,2025-05-24 17:13:39,65.07,3
551,2025-05-24 17:31:12,4.89,2
552,2025-05-24 10:04:28,52.10,2
553,2025-05-24 19:28:05,57.99,5
554,2025-05-24 21:20:42,40.62,3
555,2025-05-24 17:35:34,30.44,3
556,2025-05-24 19:54:10,35.33,5
557,2025-05-24 17:44:40,14.97,2
558,2025-05-24 18:32:14,44.21,2
559,2025-05-24 21:50:08,5.29,2
560,2025-05-24 18:01:23,9.78,5
561,2025-05-24 15:29:51,45.41,5
562,2025-05-24 10:56:05,30.34,2
563,2025-05-24 12:45:46,51.40,3
564,2025-05-24 15:49:26,77.55,5
565,2025-05-24 08:20:41,14.67,2
566,2025-05-24 14:43:33,30.34,3
567,2025-05-24 10:53:49,36.73,5
568,2025-05-24 16:11:49,26.15,2
569,2025-05-24 13:58:55,4.99,2
570,2025-05-24 18:33:09,14.77,3
571,2025-05-24 10:20:59,49.90,5
572,2025-05-24 11:33:57,14.77,3
573,2025-05-24 19:16:12,55.79,5
574,2025-05-24 20:17:08,49.60,5
575,2025-05-24 12:34:05,51.40,5
576,2025-05-24 16:37:37,4.89,2
577,2025-05-24 10:39:46,40.82,5
578,2025-05-24 12:59:36,30.24,2
579,2025-05-24 18:01:05,44.91,2
580,2025-05-24 20:49:36,49.50,3
581,2025-05-24 16:49:36,30.94,3
582,2025-05-24 16:01:31,29.74,5
583,2025-05-24 15:41:19,19.66,3
584,2025-05-24 12:51:43,14.77,3
585,2025-05-24 12:04:44,30.54,2
586,2025-05-24 10:26:30,24.75,3
587,2025-05-24 11:38:09,31.44,3
588,2025-05-24 19:20:46,65.37,3
589,2025-05-24 21:08:48,10.38,3
590,2025-05-24 14:06:20,42.22,2
591,2025-05-24 14:17:28,52.00,2
592,2025-05-24 10:03:18,15.57,3
593,2025-05-24 19:26:15,34.53,2
594,2025-05-24 18:59:36,53.99,5
595,2025-05-24 12:48:10,5.29,3
596,2025-05-24 22:29:31,55.89,3
597,2025-05-24 14:05:25,29.44,5
598,2025-05-24 14:15:13,30.04,5
599,2025-05-24 13:03:18,53.59,3
600,2025-05-24 16:53:41,25.45,5
601,2025-05-24 14:34:00,46.31,2
602,2025-05-24 13:56:16,35.63,5
603,2025-05-24 13:25:23,43.91,2
604,2025-05-24 13:36:35,35.13,2
605,2025-05-24 13:18:04,41.02,3
606,2025-05-24 14:48:35,4.89,3
607,2025-05-24 18:39:43,29.64,5
608,2025-05-24 09:06:25,25.15,3
609,2025-05-24 18:21:35,9.98,3
610,2025-05-24 18:12:38,50.40,5
611,2025-05-24 13:02:02,9.98,2
612,2025-05-24 10:21:51,10.58,3
613,2025-05-24 15:09:38,9.98,5
614,2025-05-24 10:59:39,15.57,3
615,2025-05-24 10:39:47,26.25,3
616,2025-05-24 16:32:53,19.96,5
617,2025-05-24 15:45:36,5.29,3
618,2025-05-24 14:01:23,25.15,3
619,2025-05-24 17:26:37,30.24,3
620,2025-05-24 18:46:55,14.67,5
621,2025-05-24 16:38:30,75.45,3
622,2025-05-24 21:50:49,19.96,5
623,2025-05-24 15:46:03,19.66,5
624,2025-05-24 14:33:40,10.58,5
625,2025-05-24 16:53:24,30.04,2
626,2025-05-24 18:15:02,54.69,5
627,2025-05-24 20:07:12,10.58,2
628,2025-05-24 13:26:09,40.92,3
629,2025-05-24 17:26:32,14.67,5
630,2025-05-24 19:55:54,20.56,5
631,2025-05-24 17:45:08,9.78,5
632,2025-05-24 11:20:42,35.93,3
633,2025-05-24 15:20:11,44.81,3
634,2025-05-24 19:21:34,36.43,3
635,2025-05-24 17:55:46,25.85,5
636,2025-05-24 16:44:16,59.58,5
637,2025-05-24 14:15:17,40.72,5
638,2025-05-24 12:19:49,15.47,3
639,2025-05-24 17:44:45,41.12,3
640,2025-05-24 12:22:35,34.43,5
641,2025-05-24 12:07:36,39.82,5
642,2025-05-24 15:57:25,40.02,3
643,2025-05-24 20:51:09,15.57,3
644,2025-05-24 07:45:05,56.59,3
645,2025-05-24 20:41:16,41.92,5
646,2025-05-24 14:12:52,52.00,5
647,2025-05-24 12:35:44,61.08,3
648,2025-05-24 10:39:47,50.20,5
649,2025-05-24 12:03:42,36.93,5
650,2025-05-24 11:14:03,55.99,2
651,2025-05-24 13:45:30,14.67,2
652,2025-05-24 17:08:00,14.67,5
653,2025-05-24 21:10:26,25.55,5
654,2025-05-24 20:56:30,9.78,3
655,2025-05-24 16:48:18,24.55,3
656,2025-05-24 12:03:58,40.32,2
657,2025-05-24 16:14:34,49.30,5
658,2025-05-24 17:59:02,25.45,2
659,2025-05-24 13:53:11,19.86,2
660,2025-05-24 23:25:50,25.15,3
661,2025-05-24 11:47:55,61.98,3
662,2025-05-24 19:00:19,24.85,5
663,2025-05-24 16:59:21,50.30,3
664,2025-05-24 14:41:34,55.59,5
665,2025-05-24 14:08:54,53.00,5
